moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,metaTitle,otherEntryLabel,HUOM,infoa kuvasta (videosta) / kuva nähtävänä,,,,,,,,,,,,,,,
Lahjoita 3/6,item,8bc537a4-9c21-4bc9-a37d-1bdc0eaa3179,media,yle-video,recording,Sanaselityspeli,Sana vaihtuu 10  sekunnin välein.,"Video alkaa, kun painat Äänitä.",1-50635309,,,TRUE,,,Katja lisäsi body2-tekstin 6.10. klo 14,"(HUOM: videoiden nimien numerot eivät mene järjestyksessä tästä alkaen)

Video: Ina Mikkola 10 (mykkä): 
Padilla vaihtuu 4 sanaa: 
Orgasmi, Krapula, Masturbaatio, Klitoris 
",,,,,,,,,,,,,,,
Lahjoita 3/6,state,,,,finish,Wow!,Loistavasti selitetty!,,39-7207915f64997682b94,,,,,,,Ina hehkuttaa,,,,,,,,,,,,,,,
Katso tai kuuntele,item,8dc3bf16-cd78-4b73-bcc7-49c53e853dc3,media,yle-video,finish,Vedetään henkeä,"Pian jatketaan matkaa kohti syvää päätyä. On tunnusten aika. 
","Ensin kolme pientä tunnustusta, jotka menevät vain taustatiedoksi tutkijoiden käyttöön.",1-50635300,,,FALSE,,,,Video: Ina Mikkola 7,,,,,,,,,,,,,,,
Auta tutkijaa,item,e3264046-a642-46de-a9e7-c55933ee3739,prompt,choice,,Ikäni,Valitse valikosta ikäryhmäsi.,,39-6780905ec2876c0f863,,,,,,,graffakuva (on olemassa jo),,,,,,,,,,,,,,,
Auta tutkijaa,item,8bbb8e5d-56a2-4082-9429-233ff2a5e53f,prompt,choice,,Sukupuoleni,,,39-6780915ec2876cc2128,,,,,,,graffakuva (on olemassa jo),,,,,,,,,,,,,,,
Auta tutkijaa,item,fa3ecb10-1128-4c8c-a838-600a0faadc2e,prompt,multi-choice,,Äidinkieleni,"Jos sinulla on lapsesta asti ollut kaksi äidinkieltä, voit merkitä kummankin.",,39-6780895ec2876bc6b15,,,,,,,graffakuva (on olemassa jo),,,,,,,,,,,,,,,
Katso tai kuuntele,item,14ef331b-5f30-425f-a210-3d07de5af1f0,media,image,,"Kiitos, kulta!",Tutkijat ja suomen kielikin kiittävät.,Seuraavaksi pääset avautumaan. ,39-7267485f7c199161966,,,FALSE,empty,,Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele) / Katja vaihtoi kuvan URLin 6.10. klo 14,Ina peukuttaa (eri kuva kuin rivillä 29),,,,,,,,,,,,,,,
Katso tai kuuntele,item,f3ab1997-b4c4-4b7b-8d46-1036feb0f8c2,media,yle-video,,Tunnustusten huone,Pöllitkö tavaraa työpaikaltasi? Oletko kova pieremään?,Nyt voit tunnustaa kaikki syntisi yhdellä kertaa!,1-50635299,,,FALSE,,,,Video: Ina Mikkola 6,,,,,,,,,,,,,,,
Lahjoita 4/6,item,a4161c66-c337-48a5-af26-516163d94e41,media,image,recording,Tunnustusten huone,Ole huoleti: sinua ei voi jäljittää. Puheesi menee vain tutkimuskäyttöön. ,,39-7207955f649978bd7e7,,,TRUE,,,,Tunnustustuoli,,,,,,,,,,,,,,,
Katso tai kuuntele,state,,,,finish,Enpä olisi uskonut!,Pysy mukana. Seuraavaksi näet elokuvasta sensuroituja kohtauksia!,,39-7207945f6499782a1a4,,,,empty,,Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele),Ina nolona,,,,,,,,,,,,,,,
Katso tai kuuntele,item,2bbc85ec-140d-49d9-ad77-a4f1e71d0e83,media,yle-video,,Seksiä ja saksia!,Elokuvasta Jengi sensuroitiin 60-luvulla minuuttikaupalla materiaalia. ,Näet seuraavaksi niistä osan – ilman ääniä. ,1-50635297,,,FALSE,,,Katja muutti body2-tekstiä 6.10. klo 14,Video: Ina Mikkola 5 ,,,,,,,,,,,,,,,
Lahjoita 5/6,item,acc7451f-cf0d-43b1-81f0-74962f7d1325,media,yle-video,recording,Seksiä ja saksia!,"Mieti ääneen, miksi nämä kohtaukset aikanaan joutuivat sensuurin saksimiksi.","Video alkaa, kun painat Äänitä. Se kestää reilun minuutin.",1-50642371,,,TRUE,,,,"Mykkä kooste elokuvan kohtauksista, kesto 1:17",,,,,,,,,,,,,,,
Katso tai kuuntele,state,,,image,finish,Hyvin sensuroitu!,Jatketaanko matkaa?,Nyt lähdetään huonoille teille.,39-7207975f64997957713,,,FALSE,empty,,Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele),Ina peukuttaa kahdella kädellä,,,,,,,,,,,,,,,
Katso tai kuuntele,item,b710827a-5019-4df2-a42f-9dfef26ef793,media,yle-video,,Opasta synnin polulla,"Olen vieraassa kaupungissa  ja menojalkaa vipattaa. Voisitko neuvoa tien baariin, klubille ja hotellille?","Paina Äänitä, niin näet peräkkäin kolme karttaa. Näet jokaista 15 sekunnin ajan. ",1-50635296,,,FALSE,,,,Video: Ina Mikkola 4,,,,,,,,,,,,,FALSE,Moduulin nimi tyhjäksi! (automatiikan mukaan se on Katso tai kuuntele),Video 7: Ina videolla 
