moduuli,element,itemid,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,HUOM,kuva nähtävänä tai klipin Areena-otsikko
Lahjoita 3/7,item,0d87b6f2-9136-4f5a-97ea-89b638bbabf9,media,image,,Suosikkini,"Onko suosikkisi Suomesta, maailman kisakentiltä vai naapurikylästä?

",Milloin suhteenne alkoi?,39-6752815ebc0ecfde9a0,,,TRUE,Katja muokkasi bodyja 28.5.20,
Lahjoita 3/7,state,,,,finish,Mainiota!,Sitten Kerttu Niskasen vauhdilla eteenpäin.,,39-6752705ebc07450429d,,,,,
Lahjoita 4/7,item,4ca49066-0340-427c-ad48-06c772877e6e,media,yle-video,,Selostajana,"Nyt leikitään selostajaa. Näet lyhyen videon juoksija Lasse Virenin uskomattomasta suorituksesta. 
","Ei haittaa, vaikket olisi koskaan ennen nähnyt sitä. Tähän on helppo eläytyä.",1-50526865,,,FALSE,Katja lyhensi Body 1:a 9.6.20,Lahjoita puhetta: Mikko Peltolan juonto 6
Lahjoita 4/7,item,86364bea-a6ab-4fdc-ae27-a415c076fccf,media,yle-video,,Selostajana,"Viren on sinipaita numero 228. Antaa mennä! 

",,1-50527019,,,TRUE,"Katja poisti Body2:n 9.6.20

Oikeudet ok (Rikun meili 29.4.20). 

Käytetään Yle urheilun klippiä karaokekarnevaaleista. Noin 85 sek.
",
Lahjoita 4/7,state,,,,finish,Voitto kotiin!,Sinussahan on ainesta selostuskoppiin! ,,39-6766265ebe448766b6f,,,,,
Auta tutkijaa,item,7c9effed-065e-4bde-8967-06499a0f82af,media,yle-video,,Pieni tauko,"Lasketaan välillä vähän sykettä. 

",Puhepankin tutkijat tarvitsevat vielä pari pientä taustatietoa. Niistä ei voi päätellä henkilöllisyyttäsi.,1-50526871,,,FALSE,,Lahjoita puhetta: Mikko Peltolan juonto 9
Auta tutkijaa ,item,e3264046-a642-46de-a9e7-c55933ee3739,prompt,choice,,Ikäni,Valitse valikosta ikäryhmäsi.,,39-6780905ec2876c0f863,,,,,
Auta tutkijaa ,item,8bbb8e5d-56a2-4082-9429-233ff2a5e53f,prompt,choice,,Sukupuoleni,,,39-6780915ec2876cc2128,,,,,
Auta tutkijaa ,item,b3e2ef17-166b-4293-a640-bb26b4e9f62a,media,image,,Mukavaa ...,"... jos vastasit taustatietoihin. Tutkijat ja suomen kieli kiittävät!

",Sitten eteenpäin.,39-6752475ebbfbe9919ff,,,FALSE,,
Katso ja kuuntele,item,2476e903-ecef-4e7e-9f6f-4ea7a459506c,media,yle-video,,Pallo maaliin,"Jalkapallon EM-kisat pelataan vasta vuonna 2021. Nyt treenataan! 



",Näet kohta kuvassa pelitilanteen. Miten pallon saa eri vaihtoehdoilla maaliin?,1-50526872,,,FALSE,,Lahjoita puhetta: Mikko Peltolan juonto 10
