moduuli,element,itemId,kind,itemType,state,title,body1,body2,url,startTime,endTime,isRecording,"HUOM! 


",kuva nähtävänä tai videon nimi Areenassa
Auta tutkijaa,item,fa3ecb10-1128-4c8c-a838-600a0faadc2e,prompt,multi-choice,,Äidinkieleni,"Jos sinulla on lapsesta asti ollut kaksi äidinkieltä, voit merkitä kummankin.",,39-6780895ec2876bc6b15,,,FALSE,Katja muokkasi bodyja 25.5.20 ja taas 27.5.20 ja taas 28.5.20,
Katso ja kuuntele,item,85518643-eefd-4c63-bb37-918577163fa1,media,yle-video,,Entisajan lemmikit,"Ennen meillä oli laajempi valikoima lemmikkieläimiä. 

","Kerro seuraavaksi, mitä näet kuvissa. Mitä tunnelmia ja muistoja ne herättävät? ",1-50525872,,,FALSE,Katja lyhensi body1:a 9.6.20,Lahjoita Minna9
Lahjoita 8,item,9c62e99e-556c-497d-b186-fe2655178d83,media,yle-video,,Entisajan lemmikit,"

Video kestää reilun minuutin.",,1-50526960,,,TRUE,"Katja poisti body2:n 9.6.20

Videon kesti 1 min. Kesto hyvä kertoa tekstissä, koska tässä ei ole aikapalkkia.",
Lahjoita 8,state,,media,image,finish,Suomen kieli kiittää! ,,,39-6756935ebd088be3411,,,,"
",videon loppukuva jossa creditit
Katso ja kuuntele,item,a18ba427-cf88-491f-89ea-9ca693195c4d,media,yle-video,,Rakkain eläimeni,Minulle rakas eläin ollut lapsuuden koira. ,Mikä sinulle on ollut rakkain lemmikki tai eläin? Miltä se tuntui ja mitä se teki?,1-50525879,,,FALSE,,Lahjoita Minna10
Lahjoita 9,item,46466e4d-2984-4cad-b217-50ee6dbf74a9,media,image,,Rakkain eläimeni,Puhu niin kauan kuin juttua riittää.,,"39-6756955ebd088c0b586

",,,TRUE,,lapsi ja koira veden äärellä
,state,,media,image,finish,Hyvin kerrottu!,,,"39-6756955ebd088c0b586

",,,,Katja lisäsi rivin 27.5.20 / HUOM: tyhjät bodyt,
Katso ja kuuntele,item,6323b55e-6a2c-4e10-bde6-8d5182a1c6ce,media,yle-video,,Kiitos tarinatuokiosta! ,Tämän avulla älylaitteet tulevat toivottavasti ymmärtämään meitä paremmin. ,Pidetään yhdessä eläimistä ja luonnosta huolta!,1-50525884,,,FALSE,,Lahjoita Minna11
,schedule,,,,finish,Haasta ystäväsi mukaan!,Voit myös lahjoittaa lisää turisemalla jostain toisesta aiheesta.,,39-6783325ec397be8c29d,,,,"Katja muokkasi bodyja 9.6.20.

Kiinteä viimeinen sivu (kaikissa teemoissa sama teksti) / Jere sanoo: tekstit tulevat teeman finish-tilasta, tai jos niitä ei ole, niin oletustekstit. Mukana Lahjoita lisää -nappi ja somejakonapit (web), tai mobiilissa Kutsu kaveri (josta aukeaa share sheet) sekä Lahjoita lisää -nappi.
Katja: Eikö tähän ollut tarkoitus tulla myös se kokonaisaika (jos lahjoittanut yli 2 min.)??? Joka tulisi myös somejakotekstiin??",koiralla aurinkolasit
teemanvalinta-sivun pikkukuva,theme,,,,,,,,39-6783335ec397f46f59b,,,,Katja vaihtoi kuvan urlin 25.5.20,
Käsiksen ulkopuolelta: jakonapin teksti,,,,,,,"Lahjoitin puhettani! Lahjoita sinäkin, niin olemme yhdessä mukana suomenkielisen puheentunnistuksen ja tekoälyn kehittämisessä! ( sitten tästä pitäisi olla suora ohjaus lahjoituskoneeseen tyyliin lue lisää --> ja sitten linkki menisi suoraan lahjoituskoneeseen.)",,,,,,,
